日期,开市,最高,最低,关盘,调整后的收市价,成交量
2025年08月13日,3668.66,3688.63,3666.55,3683.46,3683.46,1223346256.0
2025年08月12日,3647.96,3669.04,3647.96,3665.92,3665.92,536600.0
2025年08月11日,3637.05,3656.85,3629.63,3647.55,3647.55,551400.0
2025年08月08日,3634.85,3645.37,3625.45,3635.13,3635.13,526400.0
2025年08月07日,3637.78,3645.12,3622.52,3639.67,3639.67,535500.0
2025年08月06日,3615.81,3634.31,3613.99,3634.0,3634.0,512500.0
2025年08月05日,3588.81,3617.6,3586.97,3617.6,3617.6,499800.0
2025年08月04日,3547.16,3583.31,3547.16,3583.31,3583.31,458600.0
2025年08月01日,3568.26,3581.75,3550.04,3559.95,3559.95,509600.0
2025年07月31日,3604.7,3606.38,3562.61,3573.21,3573.21,654500.0
2025年07月30日,3608.35,3636.17,3593.73,3615.72,3615.72,637200.0
2025年07月29日,3595.81,3611.35,3585.94,3609.71,3609.71,610600.0
2025年07月28日,3594.23,3606.27,3582.15,3597.94,3597.94,594200.0
2025年07月25日,3604.45,3610.03,3586.22,3593.66,3593.66,697200.0
2025年07月24日,3578.91,3608.73,3577.11,3605.73,3605.73,773300.0
2025年07月23日,3588.88,3613.02,3577.59,3582.3,3582.3,767700.0
2025年07月22日,3561.63,3584.72,3547.25,3581.86,3581.86,716200.0
2025年07月21日,3542.82,3560.63,3542.57,3559.79,3559.79,633600.0
2025年07月18日,3519.48,3536.01,3518.23,3534.48,3534.48,493500.0
2025年07月17日,3500.37,3517.28,3499.19,3516.82,3516.82,472200.0
2025年07月16日,3502.9,3511.81,3489.14,3503.78,3503.78,470900.0
2025年07月15日,3519.8,3527.04,3483.38,3505.0,3505.0,572100.0
2025年07月14日,3513.25,3532.12,3513.25,3519.65,3519.65,572100.0
2025年07月11日,3511.36,3555.22,3506.8,3510.18,3510.18,664200.0
2025年07月10日,3491.5,3526.59,3491.5,3509.68,3509.68,564200.0
2025年07月09日,3498.72,3512.67,3491.2,3493.05,3493.05,523900.0
2025年07月08日,3474.63,3499.89,3474.63,3497.48,3497.48,493500.0
2025年07月07日,3467.99,3474.8,3462.79,3473.13,3473.13,436600.0
2025年07月04日,3459.59,3497.23,3455.49,3472.32,3472.32,500200.0
2025年07月03日,3456.15,3463.62,3446.97,3461.15,3461.15,438500.0
2025年07月02日,3458.17,3461.33,3447.96,3454.79,3454.79,498100.0
2025年07月01日,3445.85,3459.59,3441.04,3457.75,3457.75,444400.0
2025年06月30日,3423.47,3447.46,3420.11,3444.43,3444.43,457300.0
2025年06月27日,3450.69,3462.63,3421.04,3424.23,3424.23,523100.0
2025年06月26日,3451.72,3462.75,3446.19,3448.45,3448.45,496500.0
2025年06月25日,3419.09,3459.01,3417.41,3455.97,3455.97,509400.0
2025年06月24日,3380.08,3423.78,3380.08,3420.57,3420.57,461000.0
2025年06月23日,3349.46,3389.45,3347.65,3381.58,3381.58,384600.0
2025年06月20日,3358.91,3370.8,3357.71,3359.9,3359.9,350200.0
2025年06月19日,3384.29,3386.92,3353.94,3362.11,3362.11,415300.0
2025年06月18日,3386.14,3391.71,3369.99,3388.81,3388.81,378700.0
2025年06月17日,3388.18,3393.31,3376.42,3387.41,3387.41,390000.0
2025年06月16日,3369.37,3389.76,3368.88,3388.73,3388.73,405400.0
2025年06月13日,3397.48,3401.55,3370.59,3377.0,3377.0,510100.0
2025年06月12日,3397.97,3408.21,3388.87,3402.66,3402.66,409500.0
2025年06月11日,3385.46,3413.51,3385.46,3402.32,3402.32,424100.0
2025年06月10日,3402.01,3406.45,3365.67,3384.82,3384.82,481600.0
2025年06月09日,3388.78,3402.05,3383.07,3399.77,3399.77,427300.0
2025年06月06日,3384.29,3391.45,3379.76,3385.36,3385.36,380100.0
