日期,开市,最高,最低,关盘,调整后的收市价,成交量
2025年08月14日,19.81,19.81,19.77,19.77,19.77,22.0
2025年08月12日,19.69,19.77,19.65,19.75,19.75,494.0
2025年08月11日,19.45,19.7,19.42,19.5,19.5,4076.0
2025年08月08日,19.38,19.4,19.38,19.39,19.39,30.0
2025年08月07日,19.4,19.4,19.4,19.4,19.4,10.0
2025年08月06日,19.4,19.4,19.38,19.38,19.38,110.0
2025年08月05日,19.38,19.38,19.37,19.37,19.37,1378.0
2025年08月04日,19.39,19.39,19.37,19.37,19.37,657.0
2025年08月01日,19.38,19.38,19.38,19.38,19.38,5.0
2025年07月31日,19.38,19.38,19.26,19.33,19.33,1131.0
2025年07月30日,19.39,19.39,19.22,19.33,19.33,890.0
2025年07月29日,19.36,19.36,19.25,19.33,19.33,341.0
2025年07月28日,19.35,19.35,19.33,19.33,19.33,60.0
2025年07月25日,19.33,19.33,19.28,19.31,19.31,83.0
2025年07月24日,19.32,19.32,19.28,19.28,19.28,382.0
2025年07月23日,19.3,19.3,19.23,19.26,19.26,62.0
2025年07月22日,19.3,19.3,19.3,19.3,19.3,10.0
2025年07月21日,19.3,19.31,19.21,19.28,19.28,62.0
2025年07月18日,19.13,19.32,19.13,19.14,19.14,17.0
2025年07月17日,19.31,19.31,19.31,19.31,19.31,
2025年07月16日,19.31,19.31,19.31,19.31,19.31,5.0
2025年07月15日,19.2,19.32,19.2,19.28,19.28,66.0
2025年07月14日,19.28,19.28,19.28,19.28,19.28,10.0
2025年07月11日,19.29,19.29,19.2,19.26,19.26,69.0
2025年07月10日,19.27,19.27,19.22,19.24,19.24,33.0
2025年07月09日,19.21,19.24,19.2,19.24,19.24,244.0
2025年07月08日,19.2,19.24,19.2,19.24,19.24,855.0
2025年07月07日,19.19,19.2,19.19,19.2,19.2,645.0
2025年07月04日,,,,,,
2025年07月03日,19.19,19.19,19.16,19.18,19.18,
2025年07月02日,19.14,19.17,19.14,19.16,19.16,1269.0
2025年07月01日,19.12,19.14,19.1,19.13,19.13,2740.0
2025年06月30日,19.1,19.15,19.1,19.13,19.13,25.0
2025年06月27日,19.14,19.14,19.14,19.14,19.14,20.0
2025年06月26日,19.09,19.15,19.05,19.09,19.09,999.0
2025年06月25日,19.09,19.2,19.09,19.1,19.1,350.0
2025年06月24日,19.09,19.09,19.03,19.08,19.08,640.0
2025年06月23日,19.1,19.1,19.0,19.08,19.08,533.0
2025年06月20日,19.2,19.2,19.2,19.2,19.2,60.0
2025年06月19日,,,,,,
2025年06月18日,19.21,19.21,19.21,19.21,19.21,
2025年06月17日,19.21,19.21,19.21,19.21,19.21,
2025年06月16日,19.16,19.26,19.16,19.21,19.21,4.0
2025年06月13日,19.21,19.21,19.21,19.21,19.21,4.0
2025年06月12日,19.21,19.24,19.21,19.24,19.24,1021.0
2025年06月11日,19.24,19.24,19.24,19.24,19.24,
2025年06月10日,19.24,19.24,19.24,19.24,19.24,
2025年06月09日,19.24,19.24,19.24,19.24,19.24,10.0
2025年06月06日,19.19,19.24,19.17,19.21,19.21,745.0
2025年06月05日,19.1,19.1,19.1,19.1,19.1,
2025年06月04日,19.1,19.1,19.1,19.1,19.1,
2025年06月03日,19.1,19.1,19.1,19.1,19.1,
2025年06月02日,19.1,19.1,19.1,19.1,19.1,
2025年05月30日,19.1,19.1,19.1,19.1,19.1,10.0
2025年05月29日,19.1,19.1,19.1,19.1,19.1,11.0
2025年05月28日,19.04,19.11,19.03,19.05,19.05,91.0
2025年05月27日,19.11,19.11,19.11,19.11,19.11,
2025年05月26日,,,,,,
2025年05月23日,19.11,19.11,19.11,19.11,19.11,10.0
2025年05月22日,19.11,19.11,19.11,19.11,19.11,10.0
2025年05月21日,19.12,19.12,19.05,19.07,19.07,170.0
2025年05月20日,19.1,19.12,19.1,19.11,19.11,25.0
2025年05月19日,19.13,19.14,19.05,19.07,19.07,157.0
2025年05月16日,19.09,19.09,19.06,19.07,19.07,150.0
2025年05月15日,19.14,19.14,19.07,19.07,19.07,160.0
2025年05月14日,19.1,19.1,19.1,19.1,19.1,1100.0
2025年05月13日,19.15,19.15,19.15,19.15,19.15,5.0
2025年05月12日,19.14,19.14,19.14,19.14,19.14,5.0
2025年05月09日,19.12,19.12,19.12,19.12,19.12,
2025年05月08日,19.12,19.12,19.12,19.12,19.12,
2025年05月07日,19.12,19.12,19.12,19.12,19.12,1.0
2025年05月06日,19.1,19.1,19.1,19.1,19.1,1.0
2025年05月05日,19.1,19.1,19.07,19.09,19.09,481.0
2025年05月02日,19.05,19.05,19.0,19.0,19.0,355.0
2025年05月01日,19.0,19.0,18.99,19.0,19.0,110.0
2025年04月30日,19.02,19.02,19.02,19.02,19.02,100.0
2025年04月29日,19.01,19.02,18.98,18.99,18.99,237.0
2025年04月28日,18.98,18.99,18.98,18.98,18.98,132.0
2025年04月25日,19.04,19.04,18.95,18.97,18.97,1113.0
2025年04月24日,19.1,19.1,18.99,19.02,19.02,83.0
2025年04月23日,19.12,19.12,19.0,19.01,19.01,12.0
2025年04月22日,18.99,19.01,18.98,18.99,18.99,146.0
2025年04月21日,18.98,19.04,18.98,19.03,19.03,25.0
2025年04月17日,19.07,19.07,19.07,19.07,19.07,
2025年04月16日,19.08,19.1,19.05,19.07,19.07,175.0
2025年04月15日,19.05,19.08,19.05,19.07,19.07,117.0
2025年04月14日,19.05,19.05,19.0,19.05,19.05,246.0
2025年04月11日,19.0,19.05,18.97,19.0,19.0,775.0
2025年04月10日,18.98,19.01,18.88,18.97,18.97,1355.0
2025年04月09日,18.95,18.96,18.85,18.93,18.93,2292.0
2025年04月08日,19.05,19.05,18.85,18.93,18.93,1706.0
2025年04月07日,18.95,18.95,18.85,18.9,18.9,469.0
2025年04月04日,18.98,19.05,18.75,18.87,18.87,903.0
2025年04月03日,19.0,19.0,18.97,18.98,18.98,440.0
2025年04月02日,19.0,19.0,18.98,18.98,18.98,180.0
